archetype,phase_order,phase_name,action_order,action_title,action_description,target_people,recruiting_channel,outreach_script,framework,deliverable,pass_signal,fail_signal,estimated_days,estimated_hours,estimated_cash,resource_type,resource_url
digital_product,4,Prototype test,1,Design the concierge diagnosis,"Manually collect photos context and symptoms then return one ranked care action","Five interview participants with an active plant problem","follow-up from interviews","Send three photos plus watering light soil and symptom timing. I will return a ranked care action within 24 hours.",Concierge MVP,"Manual intake and response template","Five people submit complete evidence","Fewer than three complete intake",2,4,20,YC MVP guide,https://www.ycombinator.com/blog/startup-school-videos
digital_product,4,Prototype test,2,Run the 48-hour test,"Deliver diagnosis manually and observe whether users complete the recommended action","Five qualified plant owners","direct follow-up","I can test a care recommendation on your current plant problem this weekend. Would you use it and report what you did?",Behavior test,"Five completed diagnosis sessions","Four complete one care action","Users read but do not act",2,7,40,Experiment log,#
digital_product,4,Prototype test,3,Measure repeat behavior,"Ask users to submit a second plant or follow-up photo without prompting twice","Concierge test users","in-product style follow-up message","Your first care check is complete. Do you have another plant you want to assess or a follow-up photo to compare?",Retention proxy,"Fourteen-day repeat-use table","Two or more voluntary repeat submissions","No repeat submission occurs",14,3,0,Retention test,#
digital_product,5,Pricing,1,Test two price anchors,"Offer a one-time diagnosis and monthly monitoring option without discounting","Eight users who completed the concierge test","follow-up message","For the next version I am testing ₹299 per diagnosis or ₹499 monthly monitoring. Which would you choose today?",Price ladder,"Choice plus reason and objection log","Three users choose a paid option","Everyone asks for free-only access",3,4,0,Pricing test,#
digital_product,5,Pricing,2,Ask for a real commitment,"Collect a refundable deposit or signed beta commitment","Users who selected a paid option","payment link or written commitment","I can reserve one of ten beta spots with a refundable ₹99 deposit. Should I send the link?",Commitment test,"Payment or signed commitment record","Three binding commitments","Zero people accept a commitment",4,3,0,Commitment test,#
digital_product,5,Pricing,3,Model support cost,"Track diagnosis time expert escalation API cost and support minutes","Every concierge case","time log","Not applicable",Unit economics,"Cost per completed diagnosis","Gross margin can exceed 70 percent","Expert review makes every case uneconomic",2,3,0,Cost model,#
digital_product,6,Growth model,1,Test nursery acquisition,"Give one nursery a co-branded diagnosis intake link and track qualified referrals","Two independent nurseries","in-person outreach","I am testing a follow-up tool for customers who return home and see plant symptoms. Can we run it with ten customers?",Partner pilot,"Referral funnel by nursery","One nursery refers five qualified users","No nursery will test without payment",7,6,60,Partner pilot,#
digital_product,6,Growth model,2,Measure the core loop,"Track symptom submission diagnosis action completion outcome and repeat submission","All beta users","product analytics sheet","Not applicable",AARRR-lite loop,"One-page funnel with drop-off reasons","More than 40 percent complete the care action","Fewer than 20 percent complete intake",7,4,0,Funnel analysis,#
digital_product,6,Growth model,3,Define human escalation,"Specify when the app must defer to a nursery expert or plant pathologist","Nursery experts and failed test cases","expert review","Which symptom combinations should never receive automated advice?",Safety boundary,"Escalation rules and disclaimer","High-risk cases are identifiable before advice","Important risks cannot be detected from intake",4,5,100,Risk review,#
digital_product,7,Beta launch,1,Recruit a narrow cohort,"Invite thirty apartment plant owners with a recent symptom and one supported plant category","Interview pool; apartment groups; nursery referrals","I am opening a 30-person beta for people currently dealing with an unhealthy indoor plant. Participation requires one follow-up photo.",Cohort launch,"Thirty qualified invites","Ten complete activation in week one","Fewer than five complete activation",5,5,80,YC launch guide,https://www.ycombinator.com/blog/startup-school-videos
digital_product,7,Beta launch,2,Set launch thresholds,"Define activation action completion repeat use support load and safety limits before launch","Founder and beta support partner","planning session","Not applicable",Launch scorecard,"Five metrics with pass pause and stop thresholds","Thresholds are written before results arrive","Metrics are chosen after seeing results",1,2,0,Launch scorecard,#
digital_product,7,Beta launch,3,Run a two-week beta,"Support the cohort record every failure and make only evidence-backed changes","Thirty-person beta cohort","private beta channel","Not applicable",Cohort review,"Two-week evidence report and launch decision","Activation and repeat-use thresholds pass","Safety support or retention threshold fails",14,16,150,Cohort experiment,#
universal,1,Foundation,1,Define the problem hypothesis,"Name the user trigger current workaround measurable pain and why now","Five people who recently experienced the problem","personal network; targeted communities","I am researching how people currently handle this problem. Could I ask about the last time it happened?",Problem hypothesis,"One falsifiable problem statement","The belief can be disproved","The statement remains vague",1,2,0,YC guide,https://www.ycombinator.com/blog/startup-school-week-1-recap-kevin-hale-and-eric-migicovsky/
universal,2,Customer research,1,Run behavior interviews,"Ask about the last real occurrence current workaround time money and outcome","Ten qualified target users","target communities; referrals","Tell me about the last time you experienced this problem. What happened next?",Behavior interview,"Ten structured notes","Five repeated patterns","Mostly hypothetical feedback",5,7,25,YC talk,https://www.ycombinator.com/blog/startup-school-videos
universal,3,Market research,1,Map alternatives,"Compare direct competitors manual workarounds and doing nothing","Top five alternatives","search; reviews; interviews","What have you already tried?",Alternative map,"One comparison table","One underserved segment emerges","Current options solve the job",3,5,0,Competitive analysis,#
universal,4,Solution test,1,Run the smallest behavior test,"Deliver the core promise manually before building","Five qualified users","interview follow-up","I can test a manual version of the outcome this week. Would you use it?",Concierge test,"Five completed attempts","Four complete the target behavior","Fewer than three start",4,7,40,YC MVP guide,https://www.ycombinator.com/blog/startup-school-videos
universal,5,Revenue model,1,Ask for commitment,"Request money a deposit preorder or signed pilot","Users who completed the test","direct follow-up","Would you reserve the next version with a refundable deposit?",Commitment test,"Three binding commitments","Three users commit","Zero users commit",4,4,0,Pricing test,#
universal,6,Business model,1,Model the repeatable loop,"Map acquisition activation delivery retention revenue and cost","Founder and one operator","working session","Not applicable",Business loop,"One loop with metrics and owners","The loop is contribution positive","A core stage has no viable path",3,5,0,Business Model Canvas,https://assets.strategyzer.com/assets/resources/the-business-model-canvas.pdf
universal,7,Launch,1,Launch to one cohort,"Release to a narrow cohort and track activation repeat use support and referrals","Twenty qualified early users","validated acquisition channel","I am opening a small first cohort with a defined start and follow-up commitment.",Cohort launch,"Two-week evidence report","Activation and repeat thresholds pass","Retention or delivery thresholds fail",14,15,100,YC launch guide,https://www.ycombinator.com/blog/startup-school-videos
universal,1,Foundation,2,Map founder constraints,"Record time capital skills access and non-negotiable life limits","Founder and one trusted reviewer","private working session","Which constraint would make this project unsustainable even if demand exists?",Constraint map,"Capacity sheet with limits and responses","Every constraint has a limit and response","The plan assumes unlimited time money or energy",1,2,0,Constraint map,#
universal,1,Foundation,3,Rank the riskiest assumptions,"Score desirability feasibility viability and distribution beliefs by uncertainty and impact","Founder plus one experienced peer","peer review","Which belief would kill the idea fastest if it were false?",Assumption map,"Five assumptions in test order","Each belief has a test and threshold","Beliefs remain broad opinions",1,2,0,Lean Canvas,https://leanspark.leanstack.com/leancanvas
universal,2,Customer research,2,Recruit contrasting segments,"Recruit people with recent behavior across two meaningful customer segments","Twelve people with recent problem experience","targeted communities; referrals; direct outreach","I am researching the last time people handled this problem. I am looking for experience not feedback on a product.",Segment matrix,"Recruit list with inclusion criteria","At least ten recruits match recent-behavior criteria","Recruiting is based only on interest",3,4,20,Recruiting guide,#
universal,2,Customer research,3,Synthesize repeated behavior,"Code triggers workarounds frequency cost emotion and outcome across interview notes","All completed interview notes","analysis session","Which observations appeared independently in at least three interviews?",Affinity map,"Pattern table with counts and exact language","One segment repeats the same costly behavior","Themes rely on isolated opinions",2,3,0,Affinity mapping,#
universal,3,Market research,2,Mine competitor complaints,"Code recent negative reviews by unmet job switching friction trust and price","Three direct alternatives and two workarounds","review sites; communities; app stores","Not applicable",Review mining,"Fifty coded complaints","One complaint cluster appears ten or more times","Complaints do not form a repeatable pattern",3,5,0,Review mining,#
universal,3,Market research,3,Test audience reachability,"Attempt to recruit qualified users through two realistic channels","Twenty matching prospects","two candidate acquisition channels","I am looking for people who recently experienced this problem for a short research conversation.",Channel test,"Channel response and qualification table","One channel recruits ten qualified users in two weeks","Both channels require unsustainable spend",5,5,40,Channel experiment,#
universal,4,Solution test,2,Measure core action completion,"Observe whether qualified users complete the action that produces the promised outcome","Five test participants","follow-up from research","I can test the core outcome manually this week. It requires one real attempt and a short follow-up.",Behavior test,"Action completion log","Four of five complete the target action","Fewer than three start or complete",3,5,40,Experiment log,#
universal,4,Solution test,3,Test repeat behavior,"Invite users to repeat the core action without repeated reminders","Users who completed the first test","one follow-up message","The first test is complete. Would you choose to use this again for a second real situation?",Retention proxy,"Fourteen-day repeat table","Two or more repeat voluntarily","No voluntary repeat occurs",14,3,0,Retention test,#
universal,5,Revenue model,2,Test two price anchors,"Present two honest price structures after the user experiences the outcome","Eight qualified test users","direct follow-up","I am testing two ways to charge for this outcome. Which would you choose today and why?",Price ladder,"Choice objection and reason log","Three users choose a paid option","Everyone chooses free or avoids the decision",3,4,0,Pricing interview,#
universal,5,Revenue model,3,Model delivery economics,"Track fulfillment time variable cost support effort and gross margin","Every completed test case","time and cost log","Not applicable",Unit economics,"Cost per delivered outcome","A viable margin remains after real delivery cost","Delivery cost makes the offer unsustainable",2,3,0,Unit economics,#
universal,6,Business model,2,Validate the acquisition loop,"Run one small channel test from first contact to qualified activation","Twenty qualified prospects","best-performing research channel","I am opening a small test for people currently dealing with this problem.",Funnel test,"Acquisition and activation funnel","The channel produces qualified users at an affordable effort","Reach is broad but qualification is weak",7,6,50,Funnel analysis,#
universal,6,Business model,3,Define operating boundaries,"Specify support escalation quality and delivery limits before scale","Founder plus one delivery expert","operating review","Where must the system stop and require human judgment?",Operating model,"Ownership metrics and escalation rules","Every critical failure has an owner and response","Quality depends on undocumented founder effort",3,4,0,Operating model,#
universal,7,Launch,2,Set launch thresholds,"Define activation repeat use support load revenue and stop limits before results arrive","Founder and launch partner","planning session","Not applicable",Launch scorecard,"Five pass pause and stop thresholds","Thresholds are written before launch","Success is defined after seeing results",1,2,0,Launch scorecard,#
universal,7,Launch,3,Run the first cohort review,"Track every activation failure support issue repeat behavior and commitment","First narrow cohort","private cohort channel","Not applicable",Cohort review,"Two-week launch decision","Activation and repeat thresholds pass","Retention delivery or safety thresholds fail",14,12,100,Cohort review,#
